create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days
31-01-2025,147,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Apple iOS,0,0,0,0,0,0,,,0,0
31-01-2025,10000047,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Both,0.152,0.231,0.08,0.291,0.092,0.341,0.217,0.211,56.83311432,61.25472888
31-01-2025,383,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Google Android,0.578,0.896,0.318,1.135,0.34,1.291,0.82,0.813,57.38418669,58.82714784
31-01-2025,182,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Apple iOS,3158.25,3441.5,283.25,3795.562,2804.188,3225,3363.286,3333.333,-4.111625536,-3.25
31-01-2025,10000056,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Both,4676.5,5158.25,481.75,5760.438,4074.312,4871,5098.714,4976.2,-4.466111905,-2.11406294
31-01-2025,416,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Google Android,1491.25,1702.25,211,1966,1227.5,1646,1735.429,1642.867,-5.153111623,0.190723532
31-01-2025,188,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Apple iOS,0.663,1.239,0.576,1.671,0.231,0.651,0.96,0.935,-32.17740735,-30.40162503
31-01-2025,10000062,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Both,0.671,1.232,0.561,1.652,0.25,0.616,0.99,0.944,-37.80470215,-34.71579468
31-01-2025,422,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Google Android,0.634,1.279,0.645,1.763,0.15,0.547,1.053,0.958,-48.03908264,-42.93166406
31-01-2025,13,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Apple iOS,3.24,3.588,0.348,3.848,2.98,3.486,3.394,3.378,2.723637129,3.189012117
31-01-2025,10000013,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Both,3.212,3.554,0.342,3.81,2.956,3.373,3.374,3.331,-0.04233521,1.258856022
31-01-2025,249,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Google Android,2.985,3.419,0.434,3.745,2.66,2.983,3.317,3.176,-10.0770854,-6.086682758
31-01-2025,145,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Apple iOS,0,0,0,0,0,0,,,0,0
31-01-2025,10000045,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Both,1.162,1.755,0.594,2.201,0.716,1.428,1.713,1.584,-16.62357161,-9.850381936
31-01-2025,381,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Google Android,4.588,6.996,2.407,8.801,2.783,5.399,6.461,6.07,-16.44077915,-11.05192345
31-01-2025,10,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Apple iOS,8.457,9.685,1.228,10.606,7.536,9.617,8.962,8.913,7.310347026,7.904628331
31-01-2025,10000010,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Both,8.309,9.506,1.197,10.404,7.411,9.44,8.939,8.824,5.601278466,6.97894041
31-01-2025,246,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Google Android,7.788,9.254,1.467,10.354,6.687,9.065,8.913,8.652,1.705374173,4.778306903
31-01-2025,96,LOG IN,DR_Login Page Visits,Login Page Visits,Apple iOS,107521,126676,19155,150619.75,83577.25,114145,115054.429,115948.033,-0.790433348,-1.555035719
31-01-2025,10000020,LOG IN,DR_Login Page Visits,Login Page Visits,Both,141110.5,167086.25,25975.75,199555.938,108640.812,149621,150968.429,152532.733,-0.892523413,-1.908923593
31-01-2025,332,LOG IN,DR_Login Page Visits,Login Page Visits,Google Android,33942.5,39998.75,6056.25,47569.062,26372.188,35476,35914,36584.7,-1.219580108,-3.030501822
31-01-2025,97,LOG IN,DR_Successful logins,Login Success Rate,Apple iOS,85.057,86.352,1.295,87.323,84.086,86.328,86.113,85.674,0.249505634,0.763241166
31-01-2025,10000021,LOG IN,DR_Successful logins,Login Success Rate,Both,84.691,86.026,1.335,87.027,83.69,86.031,85.938,85.32,0.107718317,0.833018181
31-01-2025,333,LOG IN,DR_Successful logins,Login Success Rate,Google Android,83.494,84.907,1.413,85.967,82.435,85.074,85.376,84.2,-0.353729385,1.038524743
31-01-2025,2,BIL LING,DR_Billing Make a Payment,Make Payments,Apple iOS,35.274,40.05,4.776,43.631,31.692,36.827,38.059,38.476,-3.238168879,-4.285456858
31-01-2025,1000002,BIL LING,DR_Billing Make a Payment,Make Payments,Both,35.226,40.201,4.975,43.933,31.495,36.827,38.097,38.607,-3.333233338,-4.611221722
31-01-2025,238,BIL LING,DR_Billing Make a Payment,Make Payments,Google Android,35.26,41.375,6.115,45.962,30.673,36.828,38.208,39.029,-3.6128902,-5.640605183
31-01-2025,18,BIL LING,DR_Billing - Move My Service,Move Service,Apple iOS,0.788,0.941,0.153,1.056,0.673,0.922,0.827,0.843,11.52583377,9.332384679
31-01-2025,10000018,BIL LING,DR_Billing - Move My Service,Move Service,Both,0.737,0.888,0.151,1.001,0.624,0.889,0.784,0.793,13.41352287,12.10592686
31-01-2025,254,BIL LING,DR_Billing - Move My Service,Move Service,Google Android,0.569,0.715,0.146,0.825,0.459,0.776,0.642,0.626,20.92609083,23.8956892
31-01-2025,119,OVER ALL,DR_New Visitors,New Visitors,Apple iOS,3.108,3.42,0.312,3.654,2.874,3.985,3.792,3.407,5.101541012,16.95019712
31-01-2025,10000031,OVER ALL,DR_New Visitors,New Visitors,Both,3.513,3.819,0.306,4.048,3.284,4.303,4.153,3.769,3.618975541,14.15912769
31-01-2025,355,OVER ALL,DR_New Visitors,New Visitors,Google Android,4.734,5.128,0.395,5.424,4.437,5.326,5.304,4.912,0.409372475,8.422452636
31-01-2025,146,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Apple iOS,0,0,0,0,0,0,,,0,0
31-01-2025,10000046,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Both,0.041,0.079,0.038,0.107,0.013,0.062,0.066,0.054,-5.856832972,15.17027864
31-01-2025,382,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Google Android,0.147,0.309,0.162,0.43,0.026,0.235,0.247,0.207,-4.968226459,13.76472487
31-01-2025,127,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,13.509,14.792,1.282,15.753,12.547,13.549,13.763,14.179,-1.553871704,-4.440719486
31-01-2025,10000039,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Both,13.89,15.21,1.32,16.2,12.9,13.891,13.988,14.584,-0.695479891,-4.752653569
31-01-2025,363,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Google Android,15.128,16.578,1.449,17.665,14.042,14.988,14.711,15.865,1.882944735,-5.527097612
31-01-2025,117,OVER ALL,Page Views,Page Views,Apple iOS,1417112.25,1629945.5,212833.25,1895987.062,1151070.688,1532116,1528094.571,1503311.067,0.26316621,1.916099334
31-01-2025,10000029,OVER ALL,Page Views,Page Views,Both,2116142.25,2447410.25,331268,2861495.25,1702057.25,2286689,2298728,2263178.567,-0.523724425,1.038823612
31-01-2025,353,OVER ALL,Page Views,Page Views,Google Android,700522.25,809236.5,108714.25,945129.312,564629.438,754573,770633.429,759867.5,-2.084055528,-0.696766213
