metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
68,DR_Easy Connect Started - No Result,No Result,Apple iOS,EASY CON NECT,ECN,Negative,,,No Result,,,Apple iOS_ECN_1.5.4,Apple iOS_ECN_1.5,68,10,3,5,4,64,31-01-2025
69,DR_Easy Connect - Started Agent Chat,Easyconnect_Interacted with Chat,Apple iOS,EASY CON NECT,ECN,Negative,,,Easyconnect_Interacted with Chat,,,Apple iOS_ECN_1.5.5,Apple iOS_ECN_1.5,69,11,3,5,4,64,31-01-2025
70,DR_Visits who did not Start EC Flow,Did Not Start the Flow,Apple iOS,EASY CON NECT,ECN,Negative,,Did Not Start the Flow,,,,Apple iOS_ECN_1.6,Apple iOS_ECN_1,70,12,2,5,4,59,31-01-2025
71,DR_Visits who did not Start EC Flow - Success,Did_not Success,Apple iOS,EASY CON NECT,ECN,Positive,,,Did_not Success,,,Apple iOS_ECN_1.6.1,Apple iOS_ECN_1.6,71,13,3,5,4,70,31-01-2025
72,DR_Visits who did not Start EC Flow - Failure,Did_not Failure,Apple iOS,EASY CON NECT,ECN,Negative,,,Did_not Failure,,,Apple iOS_ECN_1.6.2,Apple iOS_ECN_1.6,72,14,3,5,4,70,31-01-2025
73,DR_Visits who did not Start EC Flow - No Result,Did_not No Result,Apple iOS,EASY CON NECT,ECN,Negative,,,Did_not No Result,,,Apple iOS_ECN_1.6.3,Apple iOS_ECN_1.6,73,15,3,5,4,70,31-01-2025
74,DR_Easy Connect - Self install success,,Apple iOS,EASY CON NECT,ECN,,,,,,,,,74,,1,5,4,,31-01-2025
75,DR_Easy Connect - Self install Timeout,,Apple iOS,EASY CON NECT,ECN,,,,,,,,,75,,1,5,4,,31-01-2025
76,cancel,,Apple iOS,KEY WORDS,KW,,,,,,,,,76,,1,6,17,,31-01-2025
77,cancel service,,Apple iOS,KEY WORDS,KW,,,,,,,,,77,,1,6,17,,31-01-2025
78,outage,,Apple iOS,KEY WORDS,KW,,,,,,,,,78,,1,6,17,,31-01-2025
79,bill,,Apple iOS,KEY WORDS,KW,,,,,,,,,79,,1,6,17,,31-01-2025
80,pay bill,,Apple iOS,KEY WORDS,KW,,,,,,,,,80,,1,6,17,,31-01-2025
81,modem,,Apple iOS,KEY WORDS,KW,,,,,,,,,81,,1,6,17,,31-01-2025
82,billing,,Apple iOS,KEY WORDS,KW,,,,,,,,,82,,1,6,17,,31-01-2025
83,Setup,,Apple iOS,KEY WORDS,KW,,,,,,,,,83,,1,6,17,,31-01-2025
84,new modem,,Apple iOS,KEY WORDS,KW,,,,,,,,,84,,1,6,17,,31-01-2025
85,set up,,Apple iOS,KEY WORDS,KW,,,,,,,,,85,,1,6,17,,31-01-2025
86,speed test,,Apple iOS,KEY WORDS,KW,,,,,,,,,86,,1,6,17,,31-01-2025
87,phone number,,Apple iOS,KEY WORDS,KW,,,,,,,,,87,,1,6,17,,31-01-2025
88,contact,,Apple iOS,KEY WORDS,KW,,,,,,,,,88,,1,6,17,,31-01-2025
89,call,,Apple iOS,KEY WORDS,KW,,,,,,,,,89,,1,6,17,,31-01-2025
90,outages,,Apple iOS,KEY WORDS,KW,,,,,,,,,90,,1,6,17,,31-01-2025
91,outage map,,Apple iOS,KEY WORDS,KW,,,,,,,,,91,,1,6,17,,31-01-2025
92,password,,Apple iOS,KEY WORDS,KW,,,,,,,,,92,,1,6,17,,31-01-2025
93,disconnect,,Apple iOS,KEY WORDS,KW,,,,,,,,,93,,1,6,17,,31-01-2025
94,customer service,,Apple iOS,KEY WORDS,KW,,,,,,,,,94,,1,6,17,,31-01-2025
95,install,,Apple iOS,KEY WORDS,KW,,,,,,,,,95,,1,6,17,,31-01-2025
96,DR_Login Page Visits,Login Page Visits,Apple iOS,LOG IN,LI,Positive,Login Page Visits,,,,,Apple iOS_LI_1,,96,1,1,7,2,,31-01-2025
97,DR_Successful logins,Login Success Rate,Apple iOS,LOG IN,LI,Positive,,Login Success Rate,,,,Apple iOS_LI_1.1,Apple iOS_LI_1,97,2,2,7,2,96,31-01-2025
98,DR_Auto Logins,Share of Auto Login (Remember/Biometrics),Apple iOS,LOG IN,LI,Positive,,,Share of Auto Login (Remember/Biometrics),,,Apple iOS_LI_1.1.1,Apple iOS_LI_1.1,98,3,3,7,2,97,31-01-2025
99,DR_Clicks to MFA Verification,with TSV,Apple iOS,LOG IN,LI,Positive,,with TSV,,,,Apple iOS_LI_1.2,Apple iOS_LI_1,99,4,2,7,2,96,31-01-2025
100,DR_Clicks on Forgot User ID,User ID Recovery,Apple iOS,LOG IN,LI,Negative,,User ID Recovery,,,,Apple iOS_LI_1.3,Apple iOS_LI_1,100,5,2,7,2,96,31-01-2025
101,Clicks on Forgot Password,Password Reset,Apple iOS,LOG IN,LI,Negative,,Password Reset,,,,Apple iOS_LI_1.4,Apple iOS_LI_1,101,6,2,7,2,96,31-01-2025
102,DR_Need to Register,Registration,Apple iOS,LOG IN,LI,Positive,,Registration,,,,Apple iOS_LI_1.5,Apple iOS_LI_1,102,7,2,7,2,96,31-01-2025
103,DR_Notification status Exists,Notifi_center Visits with Bell icon,Apple iOS,NOTIFICATION CENTER,NC,Positive,Notifi_center Visits with Bell icon,,,,,Apple iOS_NC_1,,103,1,1,8,15,,31-01-2025
104,DR_Notification received visits,Notifi_center Visits with new notifications,Apple iOS,NOTIFICATION CENTER,NC,Positive,,Notifi_center Visits with new notifications,,,,Apple iOS_NC_1.1,Apple iOS_NC_1,104,2,2,8,15,103,31-01-2025
105,DR_Notification page Visits,Notifi_center Clicked bell with new notifications,Apple iOS,NOTIFICATION CENTER,NC,Positive,,,Notifi_center Clicked bell with new notifications,,,Apple iOS_NC_1.1.1,Apple iOS_NC_1.1,105,3,3,8,15,104,31-01-2025
106,DR_Notification Viewed with new notifications,Notifi_center Viewed,Apple iOS,NOTIFICATION CENTER,NC,Positive,,,,Notifi_center Viewed,,Apple iOS_NC_1.1.1.1,Apple iOS_NC_1.1.1,106,4,4,8,15,105,31-01-2025
107,DR_Notification Declined with new notifications,Notifi_center Declined,Apple iOS,NOTIFICATION CENTER,NC,Negative,,,,Notifi_center Declined,,Apple iOS_NC_1.1.1.2,Apple iOS_NC_1.1.1,107,5,4,8,15,105,31-01-2025
108,DR_Notification accepted with new notifications,Notifi_center Accepted,Apple iOS,NOTIFICATION CENTER,NC,Positive,,,,Notifi_center Accepted,,Apple iOS_NC_1.1.1.3,Apple iOS_NC_1.1.1,108,6,4,8,15,105,31-01-2025
109,DR_No action on new notifications,Notifi_center No Action,Apple iOS,NOTIFICATION CENTER,NC,Negative,,,,Notifi_center No Action,,Apple iOS_NC_1.1.1.4,Apple iOS_NC_1.1.1,109,7,4,8,15,105,31-01-2025
110,DR_Notifications not received visits,Notifi_center Visits with no new notifications,Apple iOS,NOTIFICATION CENTER,NC,Negative,,Notifi_center Visits with no new notifications,,,,Apple iOS_NC_1.2,Apple iOS_NC_1,110,8,2,8,15,103,31-01-2025
111,DR_Notification Viewed with no new notifications,with no new notifi Viewed,Apple iOS,NOTIFICATION CENTER,NC,Positive,,,,with no new notifi Viewed,,Apple iOS_NC_1.2.0.1,Apple iOS_NC_1.2.0,111,9,4,8,15,,31-01-2025
112,DR_Notification Declined with no new notification,with no new notifi Declined,Apple iOS,NOTIFICATION CENTER,NC,Negative,,,,with no new notifi Declined,,Apple iOS_NC_1.2.0.2,Apple iOS_NC_1.2.0,112,10,4,8,15,,31-01-2025
113,DR_Notification accepted with no new notifications,with no new notifi Accepted,Apple iOS,NOTIFICATION CENTER,NC,Positive,,,,with no new notifi Accepted,,Apple iOS_NC_1.2.0.3,Apple iOS_NC_1.2.0,113,11,4,8,15,,31-01-2025
114,DR_No action on no new notifications,with no new notifi No Action,Apple iOS,NOTIFICATION CENTER,NC,Negative,,,,with no new notifi No Action,,Apple iOS_NC_1.2.0.4,Apple iOS_NC_1.2.0,114,12,4,8,15,,31-01-2025
115,DR_Visits,Visits,Apple iOS,OVER ALL,OA,Positive,Visits,,,,,Apple iOS_OA_1,,115,1,1,9,1,,31-01-2025
116,Unique Visitors,Visitors,Apple iOS,OVER ALL,OA,Positive,,,,,,,,116,2,1,9,1,,31-01-2025
117,Page Views,Page Views,Apple iOS,OVER ALL,OA,Positive,,,,,,,,117,3,1,9,1,,31-01-2025
118,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,OVER ALL,OA,Negative,,,,,,,,118,4,1,9,1,,31-01-2025
119,DR_New Visitors,New Visitors,Apple iOS,OVER ALL,OA,Positive,,New Visitors,,,,Apple iOS_OA_1.1,Apple iOS_OA_1,119,5,2,9,1,115,31-01-2025
120,DR_Server Errors,Server Errors,Apple iOS,OVER ALL,OA,Negative,,Server Errors,,,,Apple iOS_OA_1.2,Apple iOS_OA_1,120,6,2,9,1,115,31-01-2025
121,DR_Overall Chat,Visits to Chat,Apple iOS,OVER ALL,OA,Negative,,Visits to Chat,,,,Apple iOS_OA_1.3,Apple iOS_OA_1,121,7,2,9,1,115,31-01-2025
122,DR_Message Us,Visits to Chat (Bot),Apple iOS,OVER ALL,OA,Negative,,Visits to Chat (Bot),,,,Apple iOS_OA_1.4,Apple iOS_OA_1,122,8,2,9,1,115,31-01-2025
123,DR_Agent Chat,Visits to Agent Chat (Skip bot),Apple iOS,OVER ALL,OA,Negative,,Visits to Agent Chat (Skip bot),,,,Apple iOS_OA_1.5,Apple iOS_OA_1,123,9,2,9,1,115,31-01-2025
124,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,OVER ALL,OA,Positive,,Visits to Self Service Features,,,,Apple iOS_OA_1.6,Apple iOS_OA_1,124,10,2,9,1,115,31-01-2025
125,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,OVER ALL,OA,Negative,,Visits with Chat but No Self Service,,,,Apple iOS_OA_1.7,Apple iOS_OA_1,125,11,2,9,1,115,31-01-2025
126,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,OVER ALL,OA,Negative,,Visits with Neither Self Service nor Chat,,,,Apple iOS_OA_1.8,Apple iOS_OA_1,126,12,2,9,1,115,31-01-2025
127,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,OVER ALL,OA,Negative,,Not Logged-in Visits,,,,Apple iOS_OA_1.9,Apple iOS_OA_1,127,13,2,9,1,115,31-01-2025
128,DR_Native Registration Home Page,Visits to Registration Home Page,Apple iOS,RE GISTRATION (NATIVE),RG(,Positive,Visits to Registration Home Page,,,,,Apple iOS_RG(_1,,128,1,1,10,9,,31-01-2025
129,DR_Native Registration Confirmation,New Registrations,Apple iOS,RE GISTRATION (NATIVE),RG(,Positive,,New Registrations,,,,Apple iOS_RG(_1.1,Apple iOS_RG(_1,129,2,2,10,9,128,31-01-2025
