metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
434,DR_Support Home,Support Home Visits,Google Android,S UPPORT,SU,Positive,Support Home Visits,,,,,Google Android_SU_1,,198,1,1.0,16,11,,2025-02-05
435,DR_Support - Internet,Support Internet Support,Google Android,S UPPORT,SU,Positive,,Support Internet Support,,,,Google Android_SU_1.1,Google Android_SU_1,199,2,2.0,16,11,434.0,2025-02-05
436,DR_Support - Billing and Account,Billing & Account Support,Google Android,S UPPORT,SU,Positive,,Billing & Account Support,,,,Google Android_SU_1.2,Google Android_SU_1,200,3,2.0,16,11,434.0,2025-02-05
437,DR_Support - Billing,Billing Support,Google Android,S UPPORT,SU,Positive,,Billing Support,,,,Google Android_SU_1.3,Google Android_SU_1,201,4,2.0,16,11,434.0,2025-02-05
438,DR_Support - Account,Account Support,Google Android,S UPPORT,SU,Positive,,Account Support,,,,Google Android_SU_1.4,Google Android_SU_1,202,5,2.0,16,11,434.0,2025-02-05
439,DR_Support - TV,Support TV Support,Google Android,S UPPORT,SU,Positive,,Support TV Support,,,,Google Android_SU_1.5,Google Android_SU_1,203,6,2.0,16,11,434.0,2025-02-05
440,DR_Support - Homelife,Support Homelife Support,Google Android,S UPPORT,SU,Positive,,Support Homelife Support,,,,Google Android_SU_1.6,Google Android_SU_1,204,7,2.0,16,11,434.0,2025-02-05
441,DR_Support - Mobile,Support Mobile Support,Google Android,S UPPORT,SU,Positive,,Support Mobile Support,,,,Google Android_SU_1.7,Google Android_SU_1,205,8,2.0,16,11,434.0,2025-02-05
442,DR_Support - Read an Article,Read an Article,Google Android,S UPPORT,SU,Positive,,Read an Article,,,,Google Android_SU_1.8,Google Android_SU_1,206,9,2.0,16,11,434.0,2025-02-05
443,DR_Support - Search,Support Search,Google Android,S UPPORT,SU,Negative,,Support Search,,,,Google Android_SU_1.9,Google Android_SU_1,207,10,2.0,16,11,434.0,2025-02-05
444,DR_Support - Click on Exit Link,Went to External Link,Google Android,S UPPORT,SU,Positive,,Went to External Link,,,,Google Android_SU_1.10,Google Android_SU_1,208,11,2.0,16,11,434.0,2025-02-05
445,DR_Support - App Feedback,App Feedback,Google Android,S UPPORT,SU,Positive,,App Feedback,,,,Google Android_SU_1.11,Google Android_SU_1,209,12,2.0,16,11,434.0,2025-02-05
446,DR_Support - Agent chat started,Support Interacted with Chat,Google Android,S UPPORT,SU,Negative,,Support Interacted with Chat,,,,Google Android_SU_1.12,Google Android_SU_1,210,13,2.0,16,11,434.0,2025-02-05
447,DR_TSV Enrollment Home Page,Visits to TSV Home Page,Google Android,TWO-STEP VERIFICATION,TV,Positive,Visits to TSV Home Page,,,,,Google Android_TV_1,,211,1,1.0,17,12,,2025-02-05
448,DR_TSV | Intent to Enrollment,TSV Enrollment Page,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Enrollment Page,,,,Google Android_TV_1.1,Google Android_TV_1,212,2,2.0,17,12,447.0,2025-02-05
449,DR_TSV Enrollment - Success,TSV Overall Success Rate,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Overall Success Rate,,,,Google Android_TV_1.2,Google Android_TV_1,213,3,2.0,17,12,447.0,2025-02-05
450,DR_TSV Enrollment - Email,TSV Email Text,Google Android,TWO-STEP VERIFICATION,TV,Positive,TSV Email Text,,,,,Google Android_TV_2,,214,8,1.0,17,12,,2025-02-05
451,DR_TSV Enrollment - Email Success,TSV Email Success Rate,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Email Success Rate,,,,Google Android_TV_2.1,Google Android_TV_2,215,9,2.0,17,12,450.0,2025-02-05
452,DR_TSV Enrollment - Update,TSV Update,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Update,,,,Google Android_TV_2.2,Google Android_TV_2,216,10,2.0,17,12,450.0,2025-02-05
453,DR_TSV Enrollment - Server Errors,TSV Server Errors,Google Android,TWO-STEP VERIFICATION,TV,Negative,,TSV Server Errors,,,,Google Android_TV_2.3,Google Android_TV_2,217,11,2.0,17,12,450.0,2025-02-05
454,DR_TSV Enrollment - Phone text,TSV Phone Text,Google Android,TWO-STEP VERIFICATION,TV,Positive,TSV Phone Text,,,,,Google Android_TV_3,,218,4,1.0,17,12,,2025-02-05
455,DR_TSV Enrollment - Phone text Success,TSV Text Success Rate,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Text Success Rate,,,,Google Android_TV_3.1,Google Android_TV_3,219,5,2.0,17,12,454.0,2025-02-05
456,DR_TSV Enrollment - Phone call,TSV Phone Call,Google Android,TWO-STEP VERIFICATION,TV,Positive,TSV Phone Call,,,,,Google Android_TV_4,,220,6,1.0,17,12,,2025-02-05
457,DR_TSV Enrollment - Phone call Success,TSV Call Success Rate,Google Android,TWO-STEP VERIFICATION,TV,Positive,,TSV Call Success Rate,,,,Google Android_TV_4.1,Google Android_TV_4,221,7,2.0,17,12,456.0,2025-02-05
458,DR_continuing chat from new chat page,,Google Android,Unknown,U,,,,,,,,,222,,1.0,18,,,2025-02-05
459,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_b,,Google Android,U R L,URL,,,,,,,,,223,,1.0,19,18,,2025-02-05
460,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_2,,Google Android,U R L,URL,,,,,,,,,224,,1.0,19,18,,2025-02-05
461,www.cox.com/residential/refer-a-friend.html?&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_extole,,Google Android,U R L,URL,,,,,,,,,225,,1.0,19,18,,2025-02-05
462,www.cox.com/mobile-shop/check-device-compatibility.html&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mob,,Google Android,U R L,URL,,,,,,,,,226,,1.0,19,18,,2025-02-05
463,www.cox.com/residential/move.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_inapp,,Google Android,U R L,URL,,,,,,,,,227,,1.0,19,18,,2025-02-05
1000001,DR_Visits to Billing Home,Billing Section Visits,Both,BIL LING,BL,Positive,,,,,,,,1,1,,1,3,,2025-02-05
1000002,DR_Billing Make a Payment,Make Payments,Both,BIL LING,BL,Positive,,,,,,,,2,2,,1,3,1.0,2025-02-05
1000003,DR_Payment Submit,Payment Submit,Both,BIL LING,BL,Positive,,,,,,,,3,3,,1,3,1.0,2025-02-05
1000004,DR_Payments,Payment Success Rate,Both,BIL LING,BL,Positive,,,,,,,,4,4,,1,3,3.0,2025-02-05
1000005,DR_Client Errors on Make Payment,Client Errors on Payment Page,Both,BIL LING,BL,Negative,,,,,,,,5,5,,1,3,3.0,2025-02-05
1000006,DR_Server Errors on Make Payment,Server Errors on Payment Page,Both,BIL LING,BL,Negative,,,,,,,,6,6,,1,3,3.0,2025-02-05
1000007,DR_Promise to Pay,Promise to Pay - Linkout,Both,BIL LING,BL,Positive,,,,,,,,7,7,,1,3,1.0,2025-02-05
1000008,DR_Promise to Pay (Native),Promise to Pay - Native,Both,BIL LING,BL,Positive,,,,,,,,8,8,,1,3,1.0,2025-02-05
1000009,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Both,BIL LING,BL,Positive,,,,,,,,9,9,,1,3,8.0,2025-02-05
10000010,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Both,BIL LING,BL,Positive,,,,,,,,10,10,,1,3,8.0,2025-02-05
10000011,DR_Billing - View Bill Details,Bill Downloads,Both,BIL LING,BL,Positive,,,,,,,,11,11,,1,3,1.0,2025-02-05
10000012,DR_Billing - Activity & Statements,Activity & Statements,Both,BIL LING,BL,Positive,,,,,,,,12,12,,1,3,1.0,2025-02-05
10000013,DR_Billing - Automatic Payments,Easy Pay Enrollments,Both,BIL LING,BL,Positive,,,,,,,,13,13,,1,3,1.0,2025-02-05
10000014,DR_Billing - Manage Payment Methods,Payment Method Changes,Both,BIL LING,BL,Positive,,,,,,,,14,14,,1,3,1.0,2025-02-05
10000015,DR_Billing - Agreements & Discounts,Agreement & Discounts,Both,BIL LING,BL,Positive,,,,,,,,15,15,,1,3,1.0,2025-02-05
10000016,DR_Billing - Bill Delivery,Bill Delivery Options,Both,BIL LING,BL,Positive,,,,,,,,16,16,,1,3,1.0,2025-02-05
10000017,DR_Billing - Edit Billing Address,Address Changes,Both,BIL LING,BL,Positive,,,,,,,,17,17,,1,3,1.0,2025-02-05
10000018,DR_Billing - Move My Service,Move Service,Both,BIL LING,BL,Positive,,,,,,,,18,18,,1,3,1.0,2025-02-05
10000019,DR_Billing visits to chat,Billing_Interacted with chat,Both,BIL LING,BL,Negative,,,,,,,,19,19,,1,3,1.0,2025-02-05
