metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
110,DR_Notifications not received visits,Notifi_center Visits with no new notifications,Apple iOS,NOTIFICATION CENTER,NC,,Notifi_center Visits with no new notifications,,,,Apple iOS_NC_1.2,Apple iOS_NC_1,110,2,8,103.0,Negative,2025-01-27
111,DR_Notification Viewed with no new notifications,with no new notifi Viewed,Apple iOS,NOTIFICATION CENTER,NC,,,,with no new notifi Viewed,,Apple iOS_NC_1.2.0.1,Apple iOS_NC_1.2.0,111,4,8,,Positive,2025-01-27
112,DR_Notification Declined with no new notification,with no new notifi Declined,Apple iOS,NOTIFICATION CENTER,NC,,,,with no new notifi Declined,,Apple iOS_NC_1.2.0.2,Apple iOS_NC_1.2.0,112,4,8,,Negative,2025-01-27
113,DR_Notification accepted with no new notifications,with no new notifi Accepted,Apple iOS,NOTIFICATION CENTER,NC,,,,with no new notifi Accepted,,Apple iOS_NC_1.2.0.3,Apple iOS_NC_1.2.0,113,4,8,,Positive,2025-01-27
114,DR_No action on no new notifications,with no new notifi No Action,Apple iOS,NOTIFICATION CENTER,NC,,,,with no new notifi No Action,,Apple iOS_NC_1.2.0.4,Apple iOS_NC_1.2.0,114,4,8,,Negative,2025-01-27
115,DR_Visits,Visits,Apple iOS,OVER ALL,OA,Visits,,,,,Apple iOS_OA_1,,115,1,9,,Positive,2025-01-27
116,Unique Visitors,Visitors,Apple iOS,OVER ALL,OA,,,,,,,,116,1,9,,Positive,2025-01-27
117,Page Views,Page Views,Apple iOS,OVER ALL,OA,,,,,,,,117,1,9,,Positive,2025-01-27
118,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,OVER ALL,OA,,,,,,,,118,1,9,,Negative,2025-01-27
119,DR_New Visitors,New Visitors,Apple iOS,OVER ALL,OA,,New Visitors,,,,Apple iOS_OA_1.1,Apple iOS_OA_1,119,2,9,115.0,Positive,2025-01-27
120,DR_Server Errors,Server Errors,Apple iOS,OVER ALL,OA,,Server Errors,,,,Apple iOS_OA_1.2,Apple iOS_OA_1,120,2,9,115.0,Negative,2025-01-27
121,DR_Overall Chat,Visits to Chat,Apple iOS,OVER ALL,OA,,Visits to Chat,,,,Apple iOS_OA_1.3,Apple iOS_OA_1,121,2,9,115.0,Negative,2025-01-27
122,DR_continuing chat from new chat page,Continuing chat from new chat page,Apple iOS,OVER ALL,OA,,,,,,,,122,1,9,,,2025-01-27
123,DR_Message Us,Visits to Chat (Bot),Apple iOS,OVER ALL,OA,,Visits to Chat (Bot),,,,Apple iOS_OA_1.4,Apple iOS_OA_1,123,2,9,115.0,Negative,2025-01-27
124,DR_Agent Chat,Visits to Agent Chat (Skip bot),Apple iOS,OVER ALL,OA,,Visits to Agent Chat (Skip bot),,,,Apple iOS_OA_1.5,Apple iOS_OA_1,124,2,9,115.0,Negative,2025-01-27
125,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,OVER ALL,OA,,Visits to Self Service Features,,,,Apple iOS_OA_1.6,Apple iOS_OA_1,125,2,9,115.0,Positive,2025-01-27
126,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,OVER ALL,OA,,Visits with Chat but No Self Service,,,,Apple iOS_OA_1.7,Apple iOS_OA_1,126,2,9,115.0,Negative,2025-01-27
127,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,OVER ALL,OA,,Visits with Neither Self Service nor Chat,,,,Apple iOS_OA_1.8,Apple iOS_OA_1,127,2,9,115.0,Negative,2025-01-27
128,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,OVER ALL,OA,,Not Logged-in Visits,,,,Apple iOS_OA_1.9,Apple iOS_OA_1,128,2,9,115.0,Negative,2025-01-27
129,DR_Native Registration Home Page,Visits to Registration Home Page,Apple iOS,RE GISTRATION (NATIVE),RG(,Visits to Registration Home Page,,,,,Apple iOS_RG(_1,,129,1,10,,Positive,2025-01-27
130,DR_Native Registration Confirmation,New Registrations,Apple iOS,RE GISTRATION (NATIVE),RG(,,New Registrations,,,,Apple iOS_RG(_1.1,Apple iOS_RG(_1,130,2,10,129.0,Positive,2025-01-27
131,DR_Native Registration - Already Registered,Already Registered,Apple iOS,RE GISTRATION (NATIVE),RG(,,Already Registered,,,,Apple iOS_RG(_1.2,Apple iOS_RG(_1,131,2,10,129.0,Positive,2025-01-27
132,DR_Native Registration - Did not Registered,Did not Register,Apple iOS,RE GISTRATION (NATIVE),RG(,,Did not Register,,,,Apple iOS_RG(_1.3,Apple iOS_RG(_1,132,2,10,129.0,Negative,2025-01-27
133,DR_Native Registration - Email Lookup,Email Lookup,Apple iOS,RE GISTRATION (NATIVE),RG(,Email Lookup,,,,,Apple iOS_RG(_2,,133,1,10,,Positive,2025-01-27
134,DR_Native Registration - Email Lookup Success,Email Lookup Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Email Lookup Success Rate,,,,Apple iOS_RG(_2.1,Apple iOS_RG(_2,134,2,10,133.0,Positive,2025-01-27
135,DR_Native Registration - Server Form Errors,Reg_native Server Errors,Apple iOS,RE GISTRATION (NATIVE),RG(,,Reg_native Server Errors,,,,Apple iOS_RG(_2.2,Apple iOS_RG(_2,135,2,10,133.0,Negative,2025-01-27
136,DR_CoxApp | Chat from Registration Flow,Reg_native Interacted with Chat,Apple iOS,RE GISTRATION (NATIVE),RG(,,Reg_native Interacted with Chat,,,,Apple iOS_RG(_2.3,Apple iOS_RG(_2,136,2,10,133.0,Negative,2025-01-27
137,DR_Native Registration - Intent to Register,Intent to Register,Apple iOS,RE GISTRATION (NATIVE),RG(,Intent to Register,,,,,Apple iOS_RG(_3,,137,1,10,,Positive,2025-01-27
138,DR_Native Registration Success,Funnel Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Funnel Success Rate,,,,Apple iOS_RG(_3.1,Apple iOS_RG(_3,138,2,10,137.0,Positive,2025-01-27
139,DR_Native Registration - Phone Lookup,Phone Lookup,Apple iOS,RE GISTRATION (NATIVE),RG(,Phone Lookup,,,,,Apple iOS_RG(_4,,139,1,10,,Positive,2025-01-27
140,DR_Native Registration - Phone Lookup Success,Phone Lookup Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Phone Lookup Success Rate,,,,Apple iOS_RG(_4.1,Apple iOS_RG(_4,140,2,10,139.0,Positive,2025-01-27
