"channel_group","month_end","activity","accounts changed target","net revenue target","compl_psu_conn_target"
"Care","9/1/22","New Connect","846","88118.82","1545"
"Care","9/1/22","Transfer","31","192.97","1545"
"Care","9/1/22","Upgrade","329","21917.97","1545"
"Care","9/1/22","Uptier","43571","771054.69","1545"
"Care","10/1/22","Disconnect","364","-53272.16","1577"
"Care","10/1/22","Downgrade","615","-42869.95","1577"
"Care","10/1/22","Downtier","7042","-157635.17","1577"
"Care","10/1/22","New Connect","775","78579.54","1577"
"Care","10/1/22","Transfer","26","-103.54","1577"
"Care","10/1/22","Upgrade","270","17982.3","1577"
"Care","10/1/22","Uptier","34647","612695.48","1577"
"Care","11/1/22","Disconnect","365","-51070.2","1288"
"Care","11/1/22","Downgrade","618","-46146.95","1288"
"Care","11/1/22","Downtier","7158","-146324.17","1288"
"Care","11/1/22","New Connect","600","64318.69","1288"
"Care","11/1/22","Transfer","26","231.96","1288"
"Care","11/1/22","Upgrade","113","7525.99","1288"
"Care","11/1/22","Uptier","34446","585576.66","1288"
"Care","12/1/22","Disconnect","370","-51821.35","1095"
"Care","12/1/22","Downgrade","619","-46173.71","1095"
"Care","12/1/22","Downtier","7162","-146409.03","1095"
"Care","12/1/22","New Connect","603","64709.63","1095"
"Care","12/1/22","Transfer","25","227.75","1095"
"Care","12/1/22","Upgrade","113","7530.35","1095"
"Care","12/1/22","Uptier","34408","584943.56","1095"
"Care","1/1/23","Disconnect","358","-50115.25","776"
"Care","1/1/23","Downgrade","605","-45145.7","776"
"Care","1/1/23","Downtier","5506","-112555.63","776"
"Care","1/1/23","New Connect","563","63643.78","776"
"Care","1/1/23","Transfer","26","228.27","776"
"Care","1/1/23","Upgrade","110","7362.7","776"
"Care","1/1/23","Uptier","33424","568215.29","776"
"Care","2/1/23","Disconnect","339","-47512.48","717"
"Care","2/1/23","Downgrade","560","-41764.11","717"
"Care","2/1/23","Downtier","5094","-104124.77","717"
"Care","2/1/23","New Connect","507","57305.42","717"
"Care","2/1/23","Transfer","26","230.23","717"
"Care","2/1/23","Upgrade","102","6811.2","717"
"Care","2/1/23","Uptier","30719","522226.25","717"
"Care","3/1/23","Disconnect","394","-55196.35","822"
"Care","3/1/23","Downgrade","648","-48333.64","822"
"Care","3/1/23","Downtier","5895","-120503.71","822"
"Care","3/1/23","New Connect","578","65287.13","822"
"Care","3/1/23","Transfer","31","278.97","822"
"Care","3/1/23","Upgrade","118","7882.61","822"
"Care","3/1/23","Uptier","35318","600406.31","822"
"Care","4/1/23","Disconnect","397","-55540.3","792"
"Care","4/1/23","Downgrade","629","-46916.78","792"
"Care","4/1/23","Downtier","5722","-116971.23","792"
"Care","4/1/23","New Connect","553","62522.32","792"
"Care","4/1/23","Transfer","31","281.11","792"
"Care","4/1/23","Upgrade","115","7651.54","792"
"Care","4/1/23","Uptier","34169","580880.63","792"
"Care","5/1/23","Disconnect","445","-62332.46","1358"
"Care","5/1/23","Downgrade","670","-49981.15","1358"
"Care","5/1/23","Downtier","6096","-124611.2","1358"
"Care","5/1/23","New Connect","595","67290.65","1358"
"Care","5/1/23","Transfer","33","291.17","1358"
"Care","5/1/23","Upgrade","122","8151.3","1358"
"Care","5/1/23","Uptier","36160","614718.95","1358"
"Care","6/1/23","Disconnect","485","-67902.61","869"
"Care","6/1/23","Downgrade","718","-53623.67","869"
"Care","6/1/23","Downtier","6540","-133692.62","869"
"Care","6/1/23","New Connect","651","73577.24","869"
"Care","6/1/23","Transfer","33","295.62","869"
"Care","6/1/23","Upgrade","131","8745.35","869"
"Care","6/1/23","Uptier","38536","655117.65","869"
"Care","7/1/23","Disconnect","470","-65790.14","889"
"Care","7/1/23","Downgrade","742","-55350.68","889"
"Care","7/1/23","Downtier","6751","-137998.32","889"
"Care","7/1/23","New Connect","676","76442.69","889"
"Care","7/1/23","Transfer","33","299.12","889"
"Care","7/1/23","Upgrade","135","9027","889"
"Care","7/1/23","Uptier","39510","671673.81","889"
"Care","8/1/23","Disconnect","463","-64764.49","986"
"Care","8/1/23","Downgrade","819","-61112.99","986"
"Care","8/1/23","Downtier","7453","-152364.72","986"
"Care","8/1/23","New Connect","779","88058.34","986"
"Care","8/1/23","Transfer","32","285.89","986"
"Care","8/1/23","Upgrade","149","9966.76","986"
"Care","8/1/23","Uptier","43476","739091.12","986"
"Care","9/1/23","Disconnect","395","-55317.89","1822"
"Care","9/1/23","Downgrade","679","-50646.68","1822"
"Care","9/1/23","Downtier","6177","-126270.48","1822"
"Care","9/1/23","New Connect","636","71867.75","1822"
"Care","9/1/23","Transfer","28","250.39","1822"
"Care","9/1/23","Upgrade","124","8259.84","1822"
"Care","9/1/23","Uptier","35786","608356.64","1822"
"Care","10/1/23","Disconnect","393","-55046.29","824"
"Care","10/1/23","Downgrade","664","-49585.21","824"
"Care","10/1/23","Downtier","6047","-123624.07","824"
"Care","10/1/23","New Connect","619","69975.66","824"
"Care","10/1/23","Transfer","28","249.82","824"
"Care","10/1/23","Upgrade","121","8086.73","824"
"Care","10/1/23","Uptier","34796","591537.13","824"
"Care","11/1/23","Disconnect","370","-51783.32","771"
"Care","11/1/23","Downgrade","629","-46930.16","771"
"Care","11/1/23","Downtier","5724","-117004.59","771"
"Care","11/1/23","New Connect","594","67121.71","771"
"Care","11/1/23","Transfer","25","225.61","771"
"Care","11/1/23","Upgrade","115","7653.72","771"
"Care","11/1/23","Uptier","32820","557937.41","771"
"Care","12/1/23","Disconnect","363","-50863.92","745"
"Care","12/1/23","Downgrade","609","-45422.77","745"
"Care","12/1/23","Downtier","5540","-113246.42","745"
"Care","12/1/23","New Connect","575","65020.43","745"
"Care","12/1/23","Transfer","24","217.7","745"
"Care","12/1/23","Upgrade","111","7407.89","745"
"Care","12/1/23","Uptier","31546","536288.78","745"
"Cox Owned - Retail","1/1/19","Disconnect","19605","-2335592.53","48730"
"Cox Owned - Retail","1/1/19","Downgrade","18845","-1164914.3","48730"
"Cox Owned - Retail","1/1/19","Downtier","47606","-1128470.97","48730"
"Cox Owned - Retail","1/1/19","New Connect","22925","1816684.7","48730"
"Cox Owned - Retail","1/1/19","Transfer","3008","-18566.62","48730"
"Cox Owned - Retail","1/1/19","Upgrade","7347","224084.82","48730"
"Cox Owned - Retail","1/1/19","Uptier","32580","516601.79","48730"
"Cox Owned - Retail","2/1/19","Disconnect","17266","-2094079.62","44865"
"Cox Owned - Retail","2/1/19","Downgrade","15752","-982935.69","44865"
"Cox Owned - Retail","2/1/19","Downtier","40495","-943095.88","44865"
"Cox Owned - Retail","2/1/19","New Connect","19828","1650419.76","44865"
"Cox Owned - Retail","2/1/19","Transfer","3155","-17658.57","44865"
"Cox Owned - Retail","2/1/19","Upgrade","6540","189156.45","44865"
"Cox Owned - Retail","2/1/19","Uptier","27722","430006.83","44865"
"Cox Owned - Retail","3/1/19","Disconnect","20658","-2487697.05","49380"
"Cox Owned - Retail","3/1/19","Downgrade","16680","-1034154.02","49380"
"Cox Owned - Retail","3/1/19","Downtier","37398","-958312.45","49380"
"Cox Owned - Retail","3/1/19","New Connect","21563","1832815.87","49380"
"Cox Owned - Retail","3/1/19","Transfer","3705","-26383.36","49380"
"Cox Owned - Retail","3/1/19","Upgrade","6985","200128.93","49380"
"Cox Owned - Retail","3/1/19","Uptier","27555","469049.72","49380"
"Cox Owned - Retail","4/1/19","Disconnect","23163","-2751049.21","44899"
"Cox Owned - Retail","4/1/19","Downgrade","15694","-995139.49","44899"
"Cox Owned - Retail","4/1/19","Downtier","31882","-905957.74","44899"
"Cox Owned - Retail","4/1/19","New Connect","19682","1675559.4","44899"
"Cox Owned - Retail","4/1/19","Transfer","3737","-26509.17","44899"
"Cox Owned - Retail","4/1/19","Upgrade","6630","168040.85","44899"
"Cox Owned - Retail","4/1/19","Uptier","26016","459930.83","44899"
"Cox Owned - Retail","5/1/19","Disconnect","24826","-2901398.43","48216"
"Cox Owned - Retail","5/1/19","Downgrade","15087","-917485.67","48216"
"Cox Owned - Retail","5/1/19","Downtier","30205","-858361.85","48216"
"Cox Owned - Retail","5/1/19","New Connect","21792","1806103.52","48216"
"Cox Owned - Retail","5/1/19","Transfer","4314","-33258.72","48216"
"Cox Owned - Retail","5/1/19","Upgrade","6921","188177.81","48216"
"Cox Owned - Retail","5/1/19","Uptier","23747","417096.28","48216"
"Cox Owned - Retail","6/1/19","Disconnect","22318","-2679617.89","50040"
"Cox Owned - Retail","6/1/19","Downgrade","14698","-885088.05","50040"
"Cox Owned - Retail","6/1/19","Downtier","28689","-780706.31","50040"
"Cox Owned - Retail","6/1/19","New Connect","23468","1909235.63","50040"
"Cox Owned - Retail","6/1/19","Transfer","4440","-34608.07","50040"
"Cox Owned - Retail","6/1/19","Upgrade","6874","196420.24","50040"
"Cox Owned - Retail","6/1/19","Uptier","23093","407742.17","50040"
"Cox Owned - Retail","7/1/19","Disconnect","23805","-2788877.35","54612"
"Cox Owned - Retail","7/1/19","Downgrade","15504","-935679.5","54612"
"Cox Owned - Retail","7/1/19","Downtier","30243","-787027.41","54612"
"Cox Owned - Retail","7/1/19","New Connect","26896","2147335.02","54612"
"Cox Owned - Retail","7/1/19","Transfer","4883","-38794.11","54612"
"Cox Owned - Retail","7/1/19","Upgrade","7312","218931.76","54612"
"Cox Owned - Retail","7/1/19","Uptier","24873","438502.24","54612"
"Cox Owned - Retail","8/1/19","Disconnect","23581","-2764573.27","61822"
"Cox Owned - Retail","8/1/19","Downgrade","15473","-936940.52","61822"
"Cox Owned - Retail","8/1/19","Downtier","31783","-821331.98","61822"
"Cox Owned - Retail","8/1/19","New Connect","32034","2543803.09","61822"
"Cox Owned - Retail","8/1/19","Transfer","5022","-33263.8","61822"
"Cox Owned - Retail","8/1/19","Upgrade","8282","267309.22","61822"
"Cox Owned - Retail","8/1/19","Uptier","27129","474766.61","61822"
"Cox Owned - Retail","9/1/19","Disconnect","19927","-2371670.73","49221"
"Cox Owned - Retail","9/1/19","Downgrade","13961","-833392.14","49221"
"Cox Owned - Retail","9/1/19","Downtier","29255","-758463.07","49221"
"Cox Owned - Retail","9/1/19","New Connect","24600","2006261.58","49221"
"Cox Owned - Retail","9/1/19","Transfer","4000","-34636.96","49221"
"Cox Owned - Retail","9/1/19","Upgrade","6977","223414.05","49221"
"Cox Owned - Retail","9/1/19","Uptier","24276","459781.81","49221"
"Cox Owned - Retail","10/1/19","Disconnect","19592","-2359947.82","52156"
"Cox Owned - Retail","10/1/19","Downgrade","14697","-828666.88","52156"
"Cox Owned - Retail","10/1/19","Downtier","30547","-804421.53","52156"
"Cox Owned - Retail","10/1/19","New Connect","24982","2092940.23","52156"
