"date","h_channel_group","h_channel","channel_group","channel","sub_channel","target_version","activity","activity_base","accounts_changed_target","net_revenue_target","psu_connects_target","psu_disconnects_target","ncr_target","company_ac_target"
"2024-12-01 00:00:00.000","Field Sales","Field Sales","Field Sales","Field Sales",,"OPR","Disconnect","Disconnect","1118.6601185302002","-97307.8377367216",,,,"78395.2584083508"
"2024-11-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","LRP","New Connect","New Connect",,,"11073.375",,,"57299.0"
"2024-11-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Uptier","+ Base","21353.0","429053.88",,,,"73459.0"
"2022-11-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","Uptier","+ Base","797.0","17377.81",,,,"92009.0"
"2022-11-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Uptier","+ Base","34446.0","585576.66",,,,"92009.0"
"2024-11-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Uptier","+ Base","10976.0","334803.76",,,,"73459.0"
"2022-11-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Downgrade","- Base","250.0","-7221.44",,,,"26909.0"
"2022-11-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","Uptier","+ Base","153.0","3831.36",,,,"92009.0"
"2022-11-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","Downgrade","- Base","408.0","-25786.2",,,,"26909.0"
"2024-11-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","Uptier","+ Base","6157.0","73742.97",,,,"73459.0"
"2020-12-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Transfer","Transfer","3285.0","-3575.21",,,,"22047.0"
"2022-12-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","Disconnect","Disconnect","1201.0","-101006.38",,,,"74228.0"
"2020-12-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Transfer","Transfer","538.0","-109347.32",,,,"22047.0"
"2024-04-01 00:00:00.000","Online","National Affiliates","Online","National Affiliates","3rd Party - Affinity","OPR","Upgrade","+ Base","44.6332586939448","6225.129613933269",,,,"9920.023887745201"
"2024-04-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"OPR","Upgrade","+ Base","3197.0977784223","242305.38662787311",,,,"9920.023887745201"
"2024-10-01 00:00:00.000","Field Sales","Field Sales","Field Sales","Field Sales",,"OPR","Downgrade","- Base","78.0305084199","-5791.248650694601",,,,"27786.896023371897"
"2022-12-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","Disconnect","Disconnect","830.0","-75574.63",,,,"74228.0"
"2024-10-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"OPR","Downgrade","- Base","262.5760120547","-10862.769618698101",,,,"27786.896023371897"
"2024-10-01 00:00:00.000","Retention","Retention","Retention","Retention",,"OPR","Downgrade","- Base","9220.8333845777","-756661.5875384386",,,,"27786.896023371897"
"2024-04-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Upgrade","+ Base","241.63373905279997","17646.3486443373",,,,"9920.023887745201"
"2020-12-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","Transfer","Transfer","1562.0","-13421.69",,,,"22047.0"
"2022-12-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Disconnect","Disconnect","1154.0","-106004.52",,,,"74228.0"
"2024-06-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Uptier","+ Base","17640.4092960705","411950.08552731166",,,,"100792.39816656639"
"2020-07-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","Downtier","- Base","126167.0","-4194028.6",,,,"184340.0"
"2024-06-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"OPR","Uptier","+ Base","6161.2402156445005","82188.90306683429",,,,"100792.39816656639"
"2022-01-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Transfer","Transfer","29.0","423.14",,,,"16471.0"
"2022-01-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Transfer","Transfer","154.0","-801.3",,,,"16471.0"
"2024-10-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Downtier","- Base","18641.0","-614338.27",,,,"108376.0"
"2024-10-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","Downtier","- Base","257.0","-13042.41",,,,"108376.0"
"2024-10-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","Downtier","- Base","1445.0","-46737.08",,,,"108376.0"
"2021-03-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","Downgrade","- Base","1095.0","-71706.61",,,,"43583.0"
"2024-07-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"OPR","New Connect","New Connect","4780.7851004532","276110.49941181095","982.7230233826","-971.9606404579001","4780.7851004532","111375.60369909681"
"2024-07-01 00:00:00.000","Other","Other","Other","Other",,"OPR","New Connect","New Connect","1235.2070564711","120156.86606188527","841.1664143687001","-45192.0964229816","1235.2070564711","111375.60369909681"
"2024-07-01 00:00:00.000","Field Sales","Field Sales","Field Sales","Field Sales",,"OPR","New Connect","New Connect","6846.306067927199","537892.9388015821","13151.423105833801","-8624.2280307752","6846.306067927199","111375.60369909681"
"2024-07-01 00:00:00.000","Other","Outbound","Other","Outbound",,"OPR","New Connect","New Connect","528.1849040269","26906.120574532702","493.12334221620006","-198.8350942735","528.1849040269","111375.60369909681"
"2025-02-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Upgrade","+ Base","304.8446283773","19697.035792673596",,,,"7760.0979452828"
"2025-02-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","OPR","Upgrade","+ Base","83.4953120469384","6965.146541380732",,,,"7760.0979452828"
"2025-02-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"OPR","Upgrade","+ Base","2.8592174971","202.76617416429997",,,,"7760.0979452828"
"2025-02-01 00:00:00.000","Online","Cox.com","Online","Cox.com","Cox.com","OPR","Upgrade","+ Base","978.8726714976594","66442.80240036227",,,,"7760.0979452828"
"2025-02-01 00:00:00.000","Online","National Affiliates","Online","National Affiliates","3rd Party - Affinity","OPR","Upgrade","+ Base","36.2545433888022","4852.124556916914",,,,"7760.0979452828"
"2024-05-01 00:00:00.000","Field Sales","Field Sales","Field Sales","Field Sales",,"OPR","Upgrade","+ Base","158.41902342059998","11854.0828971641",,,,"9906.001994456601"
"2024-05-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","OPR","Upgrade","+ Base","108.914136831014","8671.729243677693",,,,"9906.001994456601"
"2025-02-01 00:00:00.000","Other","Other","Other","Other",,"OPR","Upgrade","+ Base","319.2824379811","18082.324896973205",,,,"7760.0979452828"
"2025-02-01 00:00:00.000","Retention","Retention","Retention","Retention",,"OPR","Upgrade","+ Base","1158.5236705255","40038.1283417852",,,,"7760.0979452828"
"2024-05-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Upgrade","+ Base","248.8913755887","17750.6113958303",,,,"9906.001994456601"
"2020-06-01 00:00:00.000","Care","Care","Care","Care",,"LRP","New Connect","New Connect","761.0","68955.41","3314.0",,"761.0","78762.0"
"2020-06-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","New Connect","New Connect","31141.0","2579745.45","66123.0",,"31141.0","78762.0"
"2020-06-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","New Connect","New Connect","193.0","12060.08","341.0",,"193.0","78762.0"
"2023-08-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Uptier","+ Base","43476.0","739091.12",,,,"119191.0"
"2020-06-01 00:00:00.000","Online","National Affiliates","Online","National Affiliates","3rd Party - Affinity","LRP","New Connect","New Connect",,,,,,"78762.0"
"2020-06-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","LRP","New Connect","New Connect",,,"18048.781",,,"78762.0"
"2021-02-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","New Connect","New Connect","24663.0","2150172.0","52107.0",,"24663.0","61671.0"
"2023-03-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","Downtier","- Base","737.0","-17435.33",,,,"110528.0"
"2021-02-01 00:00:00.000","Care","Care","Care","Care",,"LRP","New Connect","New Connect","610.0","57498.19","1849.0",,"610.0","61671.0"
