"CUSTOMER_CATEGORY_DESC","E2E_FINAL_TREATMENT","customer_status_cd","contact_date","Type","channel","customer_key","contact_id","subcontact_id","total_agents","interactions","self_service","chat_count","call_count"
"CB GOLD","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1","1","1","0","1","1","0","0"
"CB GOLD","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","18","18","18","0","28","18","0","0"
"CB GOLD","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","9","9","9","6","17","3","0","6"
"CB GOLD","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","8","8","8","0","15","8","0","0"
"CB PLATINUM","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","13","13","15","7","23","8","0","7"
"CB PLATINUM","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","13","13","15","7","23","8","0","7"
"CB PLATINUM","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","8","8","9","2","139","7","1","1"
"CB PLATINUM","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","8","8","9","2","139","7","1","1"
"CB PLATINUM","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","13","13","15","8","23","7","0","8"
"CB PLATINUM","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","4","4","5","1","8","4","1","0"
"CB PLATINUM","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","1","1","1","1","2","0","0","1"
"CB PLATINUM","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","13","13","15","8","23","7","0","8"
"CB PLATINUM","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","4","4","5","1","8","4","1","0"
"CB PLATINUM","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1","1","1","1","2","0","0","1"
"CB SILVER","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","14","14","15","0","20","15","0","0"
"CB SILVER","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","9","9","10","10","23","2","0","10"
"CB SILVER","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","2263","2263","2622","1871","5417","1028","2","1869"
"CB SILVER","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","3404","3404","4326","345","12544","4030","215","130"
"CB SILVER","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","3404","3404","4326","345","12544","4030","215","130"
"CB SILVER","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","3","3","3","3","6","0","0","3"
"CB SILVER","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","2263","2263","2622","1871","5417","1028","2","1869"
"CB SILVER","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","7","7","8","0","18","8","0","0"
"CB SILVER","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","14","14","15","0","20","15","0","0"
"CB SILVER","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","9","9","10","10","23","2","0","10"
"CB SILVER","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","7","7","8","0","18","8","0","0"
"CB SILVER","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","3","3","3","3","6","0","0","3"
"COLLECTIONS ASSISTANCE","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1","1","1","1","3","0","0","1"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","2","2","2","0","2","2","0","0"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"COLLECTIONS ASSISTANCE","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","1","1","1","1","3","0","0","1"
"COLLECTIONS ASSISTANCE","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","5","5","6","1","8","5","0","1"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","2","2","2","0","2","2","0","0"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"COLLECTIONS ASSISTANCE","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","5","5","6","1","8","5","0","1"
"INTERNAL COX ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","163","163","239","2","728","238","2","0"
"INTERNAL COX ACCOUNT","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","7","7","9","0","63","9","0","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","8","8","8","5","14","3","0","5"
"INTERNAL COX ACCOUNT","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","7","7","9","0","63","9","0","0"
"INTERNAL COX ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","79","79","90","80","227","37","0","80"
"INTERNAL COX ACCOUNT","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","8","8","8","5","14","3","0","5"
"INTERNAL COX ACCOUNT","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"INTERNAL COX ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","79","79","90","80","227","37","0","80"
"INTERNAL COX ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","163","163","239","2","728","238","2","0"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","1","1","1","0","1","1","0","0"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1","1","1","0","1","1","0","0"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"NATIONAL COMMERCIAL","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","38","38","47","40","96","14","0","40"
"NATIONAL COMMERCIAL","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","56","56","68","55","132","21","0","55"
"NATIONAL COMMERCIAL","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","3","3","3","2","5","1","2","0"
"NATIONAL COMMERCIAL","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","3","3","3","2","5","1","2","0"
"NATIONAL COMMERCIAL","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"NATIONAL COMMERCIAL","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","204","204","234","132","405","113","0","132"
"NATIONAL COMMERCIAL","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","54","54","55","8","260","47","6","2"
"NATIONAL COMMERCIAL","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","38","38","47","40","96","14","0","40"
"NATIONAL COMMERCIAL","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"NATIONAL COMMERCIAL","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","204","204","234","132","405","113","0","132"
"NATIONAL COMMERCIAL","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","54","54","55","8","260","47","6","2"
"NATIONAL COMMERCIAL","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","56","56","68","55","132","21","0","55"
"PAY UNAUTHORIZED","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","4","4","4","0","7","4","0","0"
"PAY UNAUTHORIZED","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","4","4","4","0","7","4","0","0"
"TEST ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","2","2","2","0","3","2","0","0"
"TEST ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","3","2","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Digital First","2","2","4","0","4","4","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-11-01","Single/Mutiple Account Location","Digital First","2","2","4","0","4","4","0","0"
"CARRIER","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Phone First","6","6","7","5","12","2","0","5"
"CARRIER","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","4","2","0","0"
"CARRIER","Bronze","A","2023-11-01","Single/Mutiple Account Location","Phone First","6","6","7","5","12","2","0","5"
"CARRIER","Bronze","A","2023-11-01","Single/Mutiple Account Location","Digital First","2","2","2","0","4","2","0","0"
"CB BRONZE","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Digital First","71097","71097","87069","8440","283628","79998","5438","3002"
"CB BRONZE","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Phone First","64045","64045","70948","42426","137029","34147","451","41975"
"CB BRONZE","Silver","A","2023-11-01","Single/Mutiple Account Location","Digital First","31","31","43","4","329","40","0","4"
"CB BRONZE","Silver","A","2023-11-01","Single/Mutiple Account Location","Phone First","28","28","32","19","59","14","2","17"
"CB BRONZE","Silver","A","2023-11-01","Single/Mutiple Relation Location","Phone First","28","28","32","19","59","14","2","17"
"CB BRONZE","Silver","A","2023-11-01","Single/Mutiple Relation Location","Digital First","31","31","43","4","329","40","0","4"
"CB BRONZE","Bronze","A","2023-11-01","Single/Mutiple Account Location","Phone First","64045","64045","70948","42426","137029","34147","451","41975"
"CB BRONZE","Diamond","A","2023-11-01","Single/Mutiple Account Location","Phone First","20","20","21","12","38","12","0","12"
"CB BRONZE","Bronze","A","2023-11-01","Single/Mutiple Account Location","Digital First","71097","71097","87069","8440","283628","79998","5438","3002"
"CB BRONZE","Diamond","A","2023-11-01","Single/Mutiple Relation Location","Phone First","20","20","21","12","38","12","0","12"
"CB DIAMOND","Diamond","A","2023-11-01","Single/Mutiple Relation Location","Phone First","2225","2225","2383","1481","4510","1124","4","1477"
"CB DIAMOND","Diamond","A","2023-11-01","Single/Mutiple Relation Location","Digital First","1679","1679","2150","133","12410","2030","110","23"
"CB DIAMOND","Bronze","A","2023-11-01","Single/Mutiple Account Location","Phone First","1","1","1","1","2","0","0","1"
"CB DIAMOND","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Phone First","1","1","1","1","2","0","0","1"
"CB DIAMOND","Diamond","A","2023-11-01","Single/Mutiple Account Location","Digital First","1679","1679","2150","133","12410","2030","110","23"
"CB DIAMOND","Diamond","A","2023-11-01","Single/Mutiple Account Location","Phone First","2225","2225","2383","1481","4510","1124","4","1477"
"CB DIAMOND","Bronze","A","2023-11-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","5","2","0","0"
